webqsp: 89 consensus-vs-gold cases (24 with mixed parametric+graph evidence) -> results\phase4\prepass_goldnoise_webqsp.json
  [WebQTest-618              ] 5 systems say 'maryland' vs gold ['Anne Arundel County', "Queen Anne's County"] [MIXED]
  [WebQTest-848              ] 5 systems say 'northern europe' vs gold ['Faroe Islands', 'Iceland', 'Denmark', 'Sweden', 'Norway', 'Finland', 'Åland Islands', 'Greenland'] [MIXED]
  [WebQTest-1920             ] 5 systems say 'rick scott' vs gold ['Lawyer', 'Investor', 'Businessperson', 'Politician', 'Executive officer'] [MIXED]
  [WebQTest-1730             ] 5 systems say 'río de la plata' vs gold ['South America'] [MIXED]
  [WebQTest-704              ] 5 systems say 'thor heyerdahl' vs gold ['Ethnographer', 'Film director', 'Scientist', 'Film Producer', 'Cinematographer', 'Adventurer'] [MIXED]
  [WebQTest-122              ] 4 systems say 'spain' vs gold ['Salamanca'] [MIXED]
  [WebQTest-311              ] 4 systems say 'nevada' vs gold ['Las Vegas'] [MIXED]
  [WebQTest-958              ] 4 systems say 'mauricio funes' vs gold ['Mario Wilfredo Contreras', 'William López', 'Fausto Omar Vásquez', 'Francisco Menéndez', 'Jose B. Gonzalez', 'Camilo Minero', 'Santiago \\"Jimmy\\" Mellado', 'Manuel Enrique Araujo', 'Erwin McManus', 'Américo González', 'Rene Moran', 'Mauricio Alonso Rodríguez', 'Saturnino Osorio', 'Jose Solis', 'Damaris Quéles', 'Jorge Búcaro', 'Rafael Menjívar Ochoa', 'Doroteo Vasconcelos', 'Selvin González', 'Claudia Lars', 'Jaime Portillo', 'Joel Aguilar', 'Xenia Estrada', 'Jorge Rivera', 'Miguel Cañizalez', 'José Luis Rugamas', 'Ricardo López Tenorio', 'Raúl Cicero', 'Mario Montoya', 'Carlos Barrios', 'Elena Diaz', 'Steve Montenegro', 'Elmer Acevedo', 'Laura Molina', 'Ernesto Aparicio', 'Gerardo Barrios', 'Pedro José Escalón', 'Isaías Choto', 'Rutilio Grande', 'Carlos Linares', 'Juan Rafael Bustillo', 'Melvin Barrera', 'Enrique Álvarez Córdova', 'Miguel Cruz', 'Roberto Carlos Martinez', 'Armando Chacón', 'Richard Oriani', 'Jorge Meléndez', 'Francisco Gavidia', 'Edwin Ramos', 'José Francisco Valiente', 'José María Cañas', 'Prudencia Ayala', 'Julio Adalberto Rivera Carballo', 'Guillermo García', 'Francisca González', 'Alexander Méndoza', 'Alfredo Ruano', 'Eduardo Hernández', 'José Castellanos Contreras', 'Consuelo de Saint Exupéry', 'Norman Quijano', 'Roberto Rivas', 'Mauricio Alvarenga', 'Patricia Chica', 'Emilio Guardado', 'Paula Heredia', 'Robert Renderos', 'Johnny Lopez', 'Papa A.P.', 'José Inocencio Alas', 'Takeshi Fujiwara', 'William Renderos Iraheta', 'Eduardo \\"Volkswagen\\" Hernández', 'Wilfredo Iraheta', 'José Manfredi Portillo', 'Jose Orlando Martinez', 'Tomás Medina', 'Víctor Ramírez', 'Rubén Zamora', 'Gualberto Fernández', 'Marlon Menjívar', 'Pedro Geoffroy Rivas', 'Arturo Rivera y Damas', 'Francisco Funes', 'DJ Quest', 'Andrés Eduardo Menéndez', 'Keoki', 'Nicolas F. Shi', 'Mauricio Alfaro', 'Sarah Ramos', 'g.11b8058v7j', 'Rafael Campo', 'Malin Arvidsson', 'Diego Velázquez', 'Francisco Dueñas', 'Arturo Armando Molina', 'William Armando', 'Pedro Chavarria', 'Salvador Castaneda Castro', 'Alexander Campos', 'Victor Lopez', 'Milton Palacios', 'Ana Sol Gutierrez', 'Ángel Orellana', 'Genaro Sermeño', 'Victor Manuel Ochoa', 'Óscar Antonio Ulloa', 'Bernard Lewinsky', 'Bobby Rivas', 'Miguel Angel Deras', 'Eva Dimas', 'Ana Maria de Martinez', 'Ruben Cedillos', 'Félix Pineda', 'Juan Ramón Sánchez'] [MIXED]
  [WebQTest-783              ] 3 systems say 'harris county' vs gold ['Montgomery County'] [MIXED]
  [WebQTest-301              ] 3 systems say 'amelia earhart' vs gold ['Pilot', 'Writer'] [MIXED]
cwq: 59 consensus-vs-gold cases (44 with mixed parametric+graph evidence) -> results\phase4\prepass_goldnoise_cwq.json
  [WebQTrn-2569_6b6fb018235  ] 5 systems say 'toyota center' vs gold ['Lakewood Church Central Campus'] [MIXED]
  [WebQTrn-1812_af6e94960d6  ] 5 systems say 'antigua and barbuda' vs gold ['Barbados'] [MIXED]
  [WebQTrn-493_cf7833e237b8  ] 5 systems say 'belgium' vs gold ['Europe', 'Eurasia', 'Western Europe'] [MIXED]
  [WebQTrn-3100_d059b24adec  ] 5 systems say 'dominican republic' vs gold ['Greater Antilles', 'Latin America', 'North America', 'Americas', 'País'] [MIXED]
  [WebQTrn-493_590fff78c309  ] 5 systems say 'belgium' vs gold ['Europe', 'Eurasia', 'Western Europe'] [MIXED]
  [WebQTrn-3543_d7db4cdab15  ] 5 systems say 'united arab emirates' vs gold ['Dubai'] [MIXED]
  [WebQTrn-710_c1d5c9c777c2  ] 5 systems say 'san francisco giants' vs gold ['2014 World Series'] [MIXED]
  [WebQTrn-2570_6f059734e77  ] 5 systems say 'harry s truman' vs gold ['Harvard College'] [MIXED]
  [WebQTrn-2540_1af583970c4  ] 4 systems say 'claude monet' vs gold ['Camille Pissarro', 'Pierre-Auguste Renoir'] [MIXED]
  [WebQTrn-2871_4c5dc1332d9  ] 4 systems say 'arizona' vs gold ['Phoenix', 'Phoenix'] [MIXED]
