qid,kind,category,subtype,note
WebQTest-1003,wrong,,,
WebQTest-1047,wrong,,,
WebQTest-108,wrong,,,
WebQTest-1170,wrong,,,
WebQTest-1178,wrong,,,
WebQTest-1215,wrong,,,
WebQTest-1271,wrong,,,
WebQTest-1296,wrong,,,
WebQTest-1367,wrong,,,
WebQTest-1373,wrong,,,
WebQTest-1416,wrong,,,
WebQTest-1458,wrong,,,
WebQTest-1477,wrong,,,
WebQTest-1555,wrong,,,
WebQTest-1557,wrong,,,
WebQTest-1620,wrong,,,
WebQTest-164,wrong,,,
WebQTest-1707,wrong,,,
WebQTest-1730,wrong,,,
WebQTest-1794,wrong,,,
WebQTest-186,wrong,,,
WebQTest-1898,wrong,,,
WebQTest-1914,wrong,,,
WebQTest-1920,wrong,,,
WebQTest-1937,wrong,,,
WebQTest-1940,wrong,,,
WebQTest-209,wrong,,,
WebQTest-245,wrong,,,
WebQTest-273,wrong,,,
WebQTest-301,wrong,,,
WebQTest-316,wrong,,,
WebQTest-419,wrong,,,
WebQTest-43,wrong,,,
WebQTest-59,wrong,,,
WebQTest-665,wrong,,,
WebQTest-703,wrong,,,
WebQTest-704,wrong,,,
WebQTest-749,wrong,,,
WebQTest-769,wrong,,,
WebQTest-776,wrong,,,
WebQTest-830,wrong,,,
WebQTest-86,wrong,,,
WebQTest-873,wrong,,,
WebQTest-1133,hedge,,,
WebQTest-1226,hedge,,,
WebQTest-1399,hedge,,,
WebQTest-1484,hedge,,,
WebQTest-1630,hedge,,,
WebQTest-1635,hedge,,,
WebQTest-1646,hedge,,,
WebQTest-172,hedge,,,
WebQTest-1724,hedge,,,
WebQTest-1791,hedge,,,
WebQTest-1902,hedge,,,
WebQTest-1979,hedge,,,
WebQTest-231,hedge,,,
WebQTest-314,hedge,,,
WebQTest-379,hedge,,,
WebQTest-38,hedge,,,
WebQTest-462,hedge,,,
WebQTest-579,hedge,,,
WebQTest-663,hedge,,,
WebQTest-689,hedge,,,
WebQTest-725,hedge,,,
WebQTest-996,hedge,,,
